feature,coef_true,tau_placebo,selected
nice,0.4414567065871414,0.0,True
calm,0.4344204661167363,0.0,True
lovable,0.421646003159217,0.0,True
clever,0.3873722663740017,0.0,True
democratic,0.37166679558482557,0.0,True
partial,0.36370383241824156,0.0,True
merry,0.35463347206128293,0.0,True
generous,0.354306149195253,0.0,True
kind,0.31266291804043306,0.0,True
steadfast,0.2981239488294816,0.0,True
willing,0.2685205686333225,0.0,True
winsome,0.2540739545433056,0.0,True
glad,0.2410150365955084,0.0,True
wild,0.21508997722565046,0.0,True
dependable,0.21389725191452805,0.0,True
sweet,0.21230416539345814,0.0,True
domestic,0.2088242979288001,0.0,True
blue,0.18641701584626258,0.0,True
interested,0.17259107445692545,0.0,True
conscientious,0.15694835690569323,0.0,True
womanly,0.15685646436376893,0.0,True
beautiful,0.15315647734842355,0.0,True
brave,0.14964771909266833,0.0,True
modest,0.1443051579470457,0.0,True
faithful,0.13629374091041543,0.0,True
gentle,0.13591026951407506,0.0,True
live,0.1303432664901219,0.0,True
contagious,0.12928186150857868,0.0,True
conversational,0.12533501370482986,0.0,True
pleasant,0.11768588383941422,0.0,True
insatiable,0.1070107634619732,0.0,True
fair,0.10156121698610665,0.0,True
earnest,0.10118438629317483,0.0,True
big,-0.09262914261605146,0.0022681832031390867,True
indispensable,0.08507323370575415,0.0,True
cheerful,0.07726205564594073,0.0,True
practical,-0.07537560057601794,0.0012324888630856374,True
fond,0.07065317281169245,0.0,True
late,-0.06997548357226838,0.0,True
worst,0.06834331193082999,0.0,True
rough,-0.06533319410283413,0.0,True
proud,0.06507458630517364,0.0,True
hard,-0.06353045564750097,0.019935778577393364,True
away,-0.06291559407699406,0.0,True
general,-0.06255633545174921,0.0,True
true,0.05471154019995534,0.008499272468265812,True
happy,0.054599368437874204,0.0,True
hardly,-0.05236196165587483,0.0,True
beautifully,0.051884233830400785,0.0,True
loyal,0.05106814152863465,0.030095126390390622,True
hot,-0.048822027494329547,0.0,True
great,-0.048127947692621145,0.003047454391641133,True
athletic,-0.04786814660723272,0.0,True
placid,0.046371334950891,0.0,True
right,-0.04476589660125752,0.0,True
particular,0.04425039019836952,0.0,True
industrious,0.044220824485399414,0.0,True
famous,-0.04237699469593452,0.0,True
efficient,-0.041996966720744766,0.0,True
fast,-0.041650962569799624,0.0,True
generally,-0.040613718886211,0.0,True
deep,-0.0390334085486566,0.0,True
modern,0.03544261290924846,0.0,True
early,-0.03535384608105159,0.0,True
daily,0.03468756872168003,0.0,True
doubt,-0.0344820293038215,0.0,True
able,-0.03444180751760358,0.0,True
chief,-0.03266100768991022,0.0014106076709435097,True
close,-0.03172127706326235,0.0,True
excellent,0.031203429957089735,0.0,True
long,-0.030892455923088456,0.003115984624365225,True
central,0.030097395562669094,0.0,True
worth,0.028961508713647794,0.0,True
mechanical,-0.02531916866710896,0.0,True
frequently,-0.025254895889221522,0.0,True
little,0.025124348848213417,0.011322241082254847,True
clear,-0.024344788132176345,0.0,True
red,-0.02364049316086915,0.0,True
junior,0.021743756999223755,0.0,True
quiet,-0.021143222285108974,0.008289579119262296,True
particularly,0.020569658108410837,0.0,True
minded,-0.01903611023180269,0.0,True
iveness,0.018548873082325633,0.0,True
jolly,0.017815523875710473,0.0,True
afraid,0.0171744561171678,0.0,True
better,-0.016280474199078347,0.0,True
brilliant,0.015991607231666198,0.0,True
classical,0.015135204588001038,0.0,True
large,-0.014477084016527992,0.0,True
occasionally,-0.014417664391659576,0.0,True
probably,-0.012828547576333716,0.0,True
greater,-0.012131866600092536,0.0,True
literary,-0.011360104539810397,0.0,True
easy,-0.011164851301619138,0.0,True
pretty,0.0098452011454566,0.0,True
inclined,-0.008383201439866043,0.0,True
far,-0.008175534298423427,0.0,True
longest,0.007417697161606142,0.0,True
wisely,0.00693793257696067,0.0,True
unbounded,0.005486552311463506,0.0,True
royal,0.0027780137167289086,0.0,True
civil,-0.001910223452253627,0.0,True
equal,-0.0010742448354461207,0.0,True
bright,0.0002255430542150074,0.0,True
