feature,coef_true,tau_placebo,selected
certainly,0.0,0.042824751851396906,False
changeable,0.0,0.0,False
characteristic,0.0,0.04714632766197925,False
charming,-0.0,0.0,False
cheaper,-0.0,0.0,False
cheaply,-0.0,0.0,False
cheeked,-0.0,0.0,False
cheerful,0.0600614658095166,0.07708394986792926,False
cheerfully,-0.0,0.0,False
cheerily,-0.0,0.0,False
cheery,-0.0,0.0,False
chem,0.0,0.0,False
chemically,-0.0,0.0,False
chi,-0.0,0.0,False
chief,-0.02778328918774673,0.07288385807111245,False
childish,-0.0,0.0,False
childlike,-0.0,0.0,False
chinese,-0.0,0.0,False
chivalrous,-0.0,0.0,False
chronic,-0.0,0.0,False
cigar,-0.0,0.0,False
civil,-0.0,0.04341303675996816,False
civilized,-0.0,0.0,False
classic,-0.0,0.0,False
classical,0.0,0.0,False
clean,-0.0,0.013228887830962831,False
clear,-0.0061946960557544666,0.043427218603129286,False
clearly,-0.0,0.0,False
clerical,-0.0,0.0,False
clever,0.3686426819050504,0.06387855518175194,True
close,-0.016892040017775323,0.07635136796153005,False
closed,-0.0,0.0,False
closely,-0.0,0.0,False
closer,-0.0,0.0,False
closest,0.0,0.0,False
clumsy,-0.0,0.0,False
coarse,-0.0,0.0,False
cold,-0.0,0.0,False
colonial,-0.0,0.0,False
comely,-0.0,0.0,False
comest,-0.0,0.0,False
cometh,-0.0,0.0,False
comfortable,0.0,0.0,False
comfortably,0.0,0.0,False
commanding,-0.0,0.0,False
commercial,-0.0,0.0,False
commercially,-0.0,0.0,False
commissary,-0.0,0.0,False
common,0.0,0.0485430206249341,False
commonly,-0.0,0.0,False
companionable,-0.0,0.0,False
competent,0.0,0.0,False
complacent,-0.0,0.0,False
complete,-0.0,0.0,False
completely,-0.0,0.0,False
complimentary,-0.0,0.0,False
concrete,-0.0,0.0,False
confident,-0.0,0.0,False
confidential,-0.0,0.0,False
confidentially,-0.0,0.0,False
confirmed,-0.0,0.0,False
congenial,-0.0,0.0,False
conscientious,0.15239144897767878,0.07741489966701409,True
consequently,0.0,0.0,False
conservative,-0.0,0.0,False
considerable,-0.0,0.02135352427440723,False
considerate,0.0,0.0,False
consistent,-0.0,0.07703334741475151,False
consolidated,-0.0,0.0,False
conspicuous,-0.0,0.0,False
constant,-0.0,0.0026469810364638815,False
constantly,0.0,0.0,False
constitutionally,-0.0,0.0,False
contagious,0.015814112271772592,0.0,True
content,-0.0,0.0,False
contented,-0.0,0.0,False
continual,0.0,0.0,False
continually,-0.0,0.014827835397539438,False
continued,-0.0,0.0,False
continuous,-0.0,0.0,False
continuously,-0.0,0.0,False
contrary,-0.0,0.0,False
conversational,0.014109293589044421,0.0,True
cool,-0.0,0.021897940004158078,False
