word,coefficient
her_own,0.5274626792083328
her_friends,0.4167002355437288
generous_and,0.36778702706453004
her_heart,0.35391772862204357
partial_to,0.3128527094453182
her_eyes,0.28778800638216
my_heart,0.28186957023525194
of_others,0.2729730567028136
a_friend,0.2588277552971505
she_never,0.251120563148867
girl_who,0.24794641904334952
fondness_for,0.23108079256049974
be_wise,0.22220955927057678
good_friend,0.2178287460267508
girl_with,0.19631486692193076
good_time,0.19335189703046152
student_in,0.17989000356868462
up_campus,0.1798412706937009
only_by,0.16861807435485518
a_woman,0.16119704342523283
interested_in,0.1574064159842611
good_grades,0.15488166157678043
strong_for,0.14607594937579796
her_work,0.1428305185901281
a_very,0.14092675951862504
a_sweet,0.11920710755653334
even_in,0.11789448403739927
willing_to,0.11478912871434938
is_pretty,0.10123553073396122
a_thing,0.09924085087149472
and_good,0.08781567312101514
a_girl,0.08709453809928563
loyal_to,0.08591024255833894
are_always,0.08002850905134085
and_never,0.07884957978443885
glad_to,0.07740366036720056
an_excellent,0.07660745967836297
blue_eyes,0.06856568111376476
and_dependable,0.06649203323571529
her_good,0.06454503547728645
is_long,0.06446749261974086
believes_in,0.060852555362181183
popular_with,0.05782652516442087
full_of,0.0549427325011277
an_all,0.05269689174048192
would_rather,0.05261077985221305
year_at,0.05010713291607761
side_of,0.04703040300982995
any_time,0.044408782511654254
gets_good,0.039573594367205395
fond_of,0.035925557194968684
a_faithful,0.033403814018418354
the_other,0.029623811090298973
in_particular,0.02621352052480058
at_present,0.022684398278951363
a_smile,0.01937374651418564
true_worth,0.018149874980419978
and_so,0.01805938784385325
a_year,0.016512887572897417
the_best,0.016360929425546497
with_little,0.007188505974948362
a_joke,0.006915711668192944
to_school,0.005271565897959938
a_shark,0.004027702599739247
a_quiet,0.0012293912436492087
most_of,-0.0014737895255805466
man_with,-0.0015434738545834243
any_other,-0.0025367187286707248
an_engineer,-0.002646011905800685
his_head,-0.00320641946305009
his_chief,-0.0035944036642768617
stand_in,-0.004615722617111552
the_fact,-0.005086294292562898
the_state,-0.007427819704746242
make_good,-0.007636107715897245
the_campus,-0.008441039592417324
his_studies,-0.010000906528653361
the_college,-0.011210894796887427
his_friends,-0.011716719905545936
the_boys,-0.015167663049319761
a_star,-0.016831986424141413
the_man,-0.016841005934968872
his_time,-0.018763271286839682
ever_since,-0.01956654162926099
hard_work,-0.020754152921426093
a_great,-0.021567294349680858
so_he,-0.022428850367420112
in_college,-0.024304600317925435
fellow_and,-0.02442168360755287
a_good,-0.025004194254146732
a_fellow,-0.028557496641775832
member_of,-0.030211711439920845
the_most,-0.03155771125323164
his_college,-0.032308896814048735
man_who,-0.034958941128509814
his_good,-0.03700802379914636
the_rest,-0.03941910003262063
here_'s,-0.0405136919889878
the_girls,-0.04500310943524274
his_course,-0.046108578754014994
the_same,-0.04810490028408554
he_never,-0.050953121618080265
able_to,-0.05233522053417773
his_name,-0.05378208643081006
this_man,-0.056605600191279457
a_little,-0.05838719918077068
his_work,-0.059135391837881475
fellow_who,-0.059909739913742995
a_bright,-0.06386670850758674
a_man,-0.06999726016288918
a_big,-0.07182870440727314
his_own,-0.07336590238199653
good_fellow,-0.07948278598220562
a_hard,-0.09458205977099261
