word,coefficient
calm,0.4243779298374325
nice,0.42095328230728757
clever,0.37111591739793615
lovable,0.3537564069752599
merry,0.3484009597373321
generous,0.3436067943305199
partial,0.33884123033905683
democratic,0.31348739825396793
kind,0.2742413536405258
willing,0.25840174946617683
steadfast,0.23736251491144555
glad,0.23705549386465066
winsome,0.21596784252483867
dependable,0.21102780491257295
sweet,0.2084135712826548
wild,0.18634191758336713
domestic,0.18605657976015486
blue,0.1724972110403712
interested,0.16573591038985744
conscientious,0.15281644014628565
unselfish,0.1461024039927937
beautiful,0.14036442430794957
competent,0.1329408675274264
gentle,0.12958827401615525
modest,0.12301473634984904
faithful,0.111792532749277
pleasant,0.10899746556189882
live,0.10759549298317483
fair,0.09406165438843775
earnest,0.09154608706419005
fond,0.06290090563782068
true,0.06179793980956533
proud,0.0530606390347494
cheerful,0.05211337435119095
worth,0.05151273116969005
happy,0.04812313724427674
loyal,0.04710496593405891
indispensable,0.03978709218641903
brave,0.03382084408694517
womanly,0.0338207850168216
worst,0.029020397649044127
industrious,0.022935997355954557
little,0.021921025569132026
particular,0.0207373559131925
excellent,0.018467688422644717
contagious,0.012757900027545746
jolly,0.012424611316922716
junior,0.012201738157492167
conversational,0.011145519185501059
best,0.005868501545400387
daily,0.0058472421443262895
pretty,0.0026272651392409783
modern,0.0026270883712508036
far,-0.002361885888113426
just,-0.00322409742701566
inclined,-0.003907234629270437
easy,-0.004283447624618742
mechanical,-0.004950484155659426
clear,-0.005595116398940158
probably,-0.006959435572089282
efficient,-0.00791347361795673
doubt,-0.008624004252449712
large,-0.010304004560345782
frequently,-0.011511483665776933
red,-0.012319136792619392
better,-0.013968178480413549
close,-0.01545774638733597
good,-0.015795660067116867
quiet,-0.017437197192701114
deep,-0.026174776308336
chief,-0.026319565528239584
athletic,-0.026719603614244723
generally,-0.027496877429488423
long,-0.02877849880040386
fast,-0.02911814554096812
able,-0.030196757362253863
hardly,-0.03240602127775883
early,-0.03388344760819245
famous,-0.034228670476233465
hot,-0.03889109266172676
right,-0.04223890605776168
great,-0.04543458668932457
general,-0.04963790858127606
late,-0.05985877098483104
away,-0.060234846115228516
hard,-0.061146197180116234
rough,-0.061443290687517665
practical,-0.07216805740367124
big,-0.0918243897202448
