word,coefficient
classical,0.6532917999555993
profoundly,0.30901334537229536
capricious,0.3090133303304121
individual,0.30818235982280767
blest,0.3073940554171818
annual,0.2974486811106065
manifest,0.15011296334519536
musical,0.06773591437526061
dependable,0.01237965869809899
high,0.011564650863744759
regular,0.007350310509561389
little,0.004619123518032802
second,0.003188463920731098
promiscuous,0.0014395528616315443
reliant,0.0008309853807661469
fair,0.0006805417513565722
happy,0.00043090370607533536
ashamed,0.00017973710062691727
chief,1.0541763896756992e-05
good,-0.0025718799251701957
