feature,coef_true,tau_placebo,selected
busiest,0.0,0.0,False
businesslike,-0.0,0.0,False
busy,-0.14655807381407168,0.08910225863891053,True
butch,-0.0,0.0,False
buzzo,-0.0,0.0,False
bygone,-0.0,0.0,False
cacti,-0.0,0.0,False
cadaverous,-0.0,0.0,False
calm,-0.0,0.061574368628485726,False
campaniole,-0.0,0.0,False
canny,0.0,0.0,False
canst,-0.0,0.0,False
capable,-0.0,0.0947114830368247,False
capricious,-0.0,0.0,False
carefree,-0.0,0.0,False
careful,-0.0,0.0248186057013673,False
careless,-0.0,0.0,False
carv-,-0.0,0.0,False
castilian,-0.0,0.0,False
cecile,0.0,0.0,False
celestial,-0.0,0.0,False
cellulo,-0.0,0.0,False
centigrade,-0.0,0.0,False
central,0.0,0.0,False
certain,0.0,0.06475532233798387,False
certainly,0.0,0.06416711998673098,False
changeable,-0.0,0.0,False
characteristic,-0.02762278127447637,0.08442266805250152,False
charming,-0.0,0.0,False
cheaper,0.0,0.0,False
cheaply,-0.0,0.0,False
cheeked,0.0,0.0,False
cheerful,0.0,0.09284935344987608,False
cheerfully,-0.0,0.0,False
cheerily,-0.0,0.0,False
cheery,-0.0,0.0,False
chem,-0.0,0.0,False
chemically,-0.0,0.0,False
chi,-0.0,0.0,False
chief,-0.0,0.09072412385689706,False
childish,-0.0,0.0,False
childlike,-0.0,0.0,False
chinese,0.0,0.0,False
chivalrous,-0.0,0.0,False
chronic,-0.0,0.0,False
cigar,0.0,0.0,False
civil,-0.057282125658268575,0.06142307785546889,False
civilized,-0.0,0.0,False
classic,-0.0,0.0,False
classical,-0.0,0.0,False
clean,-0.0,0.02793105337071608,False
clear,-0.0,0.08642075760694146,False
clearly,0.0,0.0,False
clerical,0.0,0.0,False
clever,0.0,0.09115701217218278,False
close,-0.12309853733221371,0.09280625106640789,True
closed,-0.0,0.0,False
closely,-0.0,0.0,False
closer,0.0,0.0,False
closest,-0.0,0.0,False
clumsy,0.0,0.0,False
coarse,-0.0,0.0,False
cold,-0.0,0.0,False
colonial,-0.0,0.0,False
comely,-0.0,0.0,False
comest,-0.0,0.0,False
cometh,-0.0,0.0,False
comfortable,0.0,0.0,False
comfortably,-0.0,0.0,False
commanding,-0.0,0.0,False
commercial,0.0,0.0,False
commercially,-0.0,0.0,False
commissary,-0.0,0.0,False
common,0.01607281282542261,0.0776460572582047,False
commonly,0.0,0.0,False
companionable,0.0,0.0,False
competent,0.0,0.0,False
complacent,-0.0,0.0,False
complete,0.0,0.0,False
completely,-0.0,0.0,False
complimentary,-0.0,0.0,False
concrete,0.0,0.0,False
confident,-0.0,0.0,False
confidential,-0.0,0.0,False
confidentially,-0.0,0.0,False
confirmed,0.0,0.0,False
congenial,0.0,0.0,False
conscientious,0.0,0.10147379686141648,False
consequently,0.0,0.0,False
conservative,-0.0,0.0,False
considerable,-0.0,0.025420161539750775,False
considerate,0.0,0.0,False
consistent,-0.0,0.09338871191896399,False
consolidated,-0.0,0.0,False
conspicuous,0.0,0.0,False
constant,0.0,0.055369499533284565,False
constantly,0.0,0.0,False
constitutionally,-0.0,0.0,False
contagious,0.0,0.0,False
content,-0.0,0.0,False
contented,0.0,0.0,False
continual,-0.0,0.0,False
continually,0.0,0.03048996992914455,False
continued,-0.0,0.0,False
continuous,0.0,0.0,False
continuously,0.0,0.0,False
contrary,-0.0,0.0,False
conversational,0.0,0.0,False
cool,-0.0,0.0,False
copiously,0.0,0.0,False
cordial,-0.0,0.0,False
cornered,-0.0,0.0,False
