feature,coef_true,tau_placebo,selected
calm,0.4269623976407464,0.04336350943019203,True
nice,0.42392275173512334,0.01294047020801938,True
lovable,0.39090828786050336,0.0,True
clever,0.37328614147837574,0.06259820850558113,True
generous,0.35325311335875936,0.07075844862052871,True
merry,0.347284709142643,0.04737529657327066,True
partial,0.34172119650913163,0.04392511950122988,True
democratic,0.31570272481242984,0.0,True
kind,0.27793919726835764,0.0,True
willing,0.2602270839482433,0.08045350621169604,True
glad,0.2389653061651719,0.07436425741738739,True
steadfast,0.23870078704837336,0.0,True
winsome,0.21673864017471034,0.0,True
sweet,0.2074580392672154,0.07572120158928969,True
dependable,0.20372304896276824,0.06262118879642369,True
conscientious,0.19179393069521028,0.07442410787437995,True
wild,0.18883631174806087,0.01582468929961458,True
domestic,0.1882569095364032,0.013741210362247522,True
blue,0.1734460195974026,0.06179276422018438,True
interested,0.1659231068942761,0.07415616101160032,True
beautiful,0.143208472263342,0.04085372771657712,True
modest,0.14016736766468418,0.07422032687681611,True
gentle,0.12797796615264584,0.06928625113963141,True
faithful,0.12641536070871337,0.0668348524592767,True
pleasant,0.110966396051426,0.07425285039140116,True
live,0.11057325030264985,0.060428962921958145,True
fair,0.09989213016199819,0.07119111071459328,True
earnest,0.0954467160814403,0.07697664975476405,True
big,-0.08809930493199736,0.05548544402632534,True
practical,-0.08776665371089414,0.06783033313098744,True
hard,-0.0645610171581357,0.04904791109986093,True
certainly,0.05067627732244456,0.04463904985002707,True
indispensable,0.048586456570438905,0.0,True
womanly,0.04500188687978548,0.0,True
brave,0.0450018849656827,0.0,True
worst,0.032916130584505966,0.01496091718608244,True
contagious,0.024325568562819505,0.0,True
conversational,0.01904273232972846,0.0,True
insatiable,0.0022611988448806627,0.0,True
