word,coefficient
little_girl,0.5703782874647149
lovable,0.46260700449123454
calm,0.45621144955831266
nice,0.45526731521472485
partial,0.3774600895054492
clever,0.3488372626754212
generous,0.3364144616291763
merry,0.32275746550083206
kind,0.30942274999346475
willing,0.27392847468951204
winsome,0.27332322449375535
good_time,0.26049965201892045
blue,0.25682666873122967
good_grades,0.23726022898078716
glad,0.23061381290266889
good_friend,0.2242386943135933
dependable,0.21183536908296066
wild,0.18295163629950606
sweet,0.1631173908848327
interested,0.1463974097000909
conscientious,0.1446673717051632
faithful,0.13698116270279503
modest,0.12876851041932538
fair,0.12857304640127595
gentle,0.12748938053386322
worth,0.11398827095291769
live,0.10998980786670283
beautiful,0.08771002095726635
true_worth,0.08635541422738385
cheerful,0.08232161258983926
pleasant,0.08017339174375294
loyal,0.0716298998136167
gay,0.06818489517278654
earnest,0.06529982455622871
modern,0.06465909571872884
proud,0.0627686509543548
fond,0.061711754524719005
particular,0.06046579965044752
jolly,0.05613318188824701
industrious,0.04721655640035855
worst,0.04130120597414194
sincere,0.04101914486217959
daily,0.04012265841733652
happy,0.03239634616763531
true,0.03133865497681846
excellent,0.029216900683454904
brilliant,0.02200308096861573
reliable,0.015525820495082285
particularly,0.014500266245105085
best,0.01449252124205536
bright,0.0072516927953444115
wisely,0.006179113162078058
great_deal,0.004626129704035142
natural,0.001146434058534547
close,-0.005589974642930374
probably,-0.007084897911358121
doubt,-0.007230047353674786
far,-0.008265820460210795
clear,-0.011830697990006805
perfectly,-0.011971251930347421
chief,-0.016045500235511795
quiet_fellow,-0.0164923701635935
deep,-0.01684679969347317
inclined,-0.02064105064701229
quiet,-0.02096082598119024
better,-0.022806693839495462
large,-0.02461889341173236
good,-0.026357985629568145
easy_going,-0.027358825665215896
hard_worker,-0.02977979673762969
long,-0.031614377996613416
fast,-0.035335355191513936
right,-0.0354056108568536
early,-0.03574653103575481
able,-0.03721520589604548
frequently,-0.037485631406784764
hardly,-0.0376193309341463
away,-0.03837279887900973
great,-0.03977557883885703
good_man,-0.04229319687256661
hard,-0.04969192284820226
athletic,-0.04977507749307574
fellow_good,-0.056738722707096796
hot,-0.058221246969766986
generally,-0.06111999475532773
practical,-0.06266389413539585
late,-0.06516137298137403
hearted_fellow,-0.06857534385948524
rough,-0.06982493908058565
student_loyal,-0.0699604022052598
famous,-0.07713217451904794
big,-0.07777418366389495
fair_sex,-0.11250604818733832
good_fellow,-0.1414996593883608
