word,coefficient
little_girl,0.5723508956463543
calm,0.45655535588417223
nice,0.3992548823063433
lovable,0.37653832519960584
partial,0.35175894911400085
clever,0.34717000783364493
generous,0.34039514748867156
democratic,0.3316631433786422
merry,0.3251541937519363
kind,0.3094969893313702
winsome,0.2765247387165849
steadfast,0.2744484985607706
blue,0.26377576457575885
willing,0.2602768890166972
good_time,0.2595320027557145
glad,0.23919350323718766
good_grades,0.2338116429982372
dependable,0.21993551518676566
girl_good,0.21828794254221498
good_friend,0.20394040464325056
live_wire,0.1736811596954955
competent,0.17153347038694275
wild,0.16766339859518586
sweet,0.16713916993958106
day_long,0.16712373514147907
interested,0.15435447059072813
quiet_girl,0.14484039743788857
conscientious,0.13622035792993084
demure_little,0.13377275977071063
good_girl,0.13097777131035956
faithful,0.130144106965776
gentle,0.12984474704082755
pleasant_think,0.12967628590200184
modest,0.1261333043524222
fair,0.12102601252020331
young_lady,0.11767143727678635
worth,0.10136373972685943
brave,0.09380465722145813
beautiful,0.0938033987007627
womanly,0.08426978904153098
contagious,0.0823552930609531
twin_sister,0.08105741509828972
gay,0.07457415556051471
true_worth,0.07121173130880264
insatiable,0.06849106680291744
loyal,0.06832612922009577
pleasant,0.06804124403743796
proud,0.06700852308696978
live,0.06161486806414785
particular,0.05978743813253398
jolly,0.056093177565797354
earnest,0.055519382347583614
unselfish,0.052474492631638864
fond,0.05241942469381073
perpetual,0.04927051132169626
cheerful,0.045666193370399503
daily,0.04365326063676532
worst,0.041168639370614706
true,0.039103201827953515
industrious,0.038801703222552664
excellent,0.03361999243225185
happy,0.03269842924573408
sincere,0.02827412383590651
wisely,0.02519950203570053
brilliant,0.024787878796155297
gifted,0.024764524779017978
modern,0.020534588727373623
placid,0.019545638432650874
hard_time,0.019069423431517796
best,0.014718431889582181
particularly,0.013750102713873754
place_beautifully,0.011250246005780888
bright,0.006306676728782599
great_deal,0.005742423721113965
maiden_bold,0.0054227716560363536
blue_eyes,0.0039023202683397496
beautifully,0.0021838243286323358
longest,0.0016202727935421656
pretty_walk,5.207858945164191e-05
talk_pleasant,4.787814203595306e-05
bold_spirit,1.5385205442450654e-06
beautifully_fills,1.2223985332511168e-15
contagious_laughter,1.1112713938646517e-16
close,-0.0002709011645555636
doubt,-0.004944530807997433
far,-0.005677541417522888
probably,-0.00634226199262274
perfectly,-0.008227727389733605
clear,-0.008818869580464303
chief,-0.009088529265690221
deep,-0.014160693916753397
quiet_fellow,-0.01557071478231064
inclined,-0.019303904628715507
better,-0.01971406914820758
quiet,-0.019730885658876922
large,-0.02271620668379568
hard_worker,-0.024320050077695072
easy_going,-0.026039931187285172
good,-0.027728479063504015
fast,-0.030656875165683755
long,-0.03357305047592251
right,-0.03366985032630104
frequently,-0.03460033798279606
hardly,-0.03463728883906483
away,-0.03767490187246176
good_man,-0.03780257757561099
able,-0.038071191341973835
great,-0.03809791219812117
early,-0.038915620861756046
athletic,-0.04183339798887873
hard,-0.050626908183671944
fellow_good,-0.052550209171627775
hot,-0.054261749143250285
generally,-0.05612303561142221
student_loyal,-0.05935797684620274
practical,-0.05946785169020399
late,-0.06105016871383014
rough,-0.06798219904978747
hearted_fellow,-0.06816139212799904
big,-0.07379103424296
famous,-0.07558339267454174
fair_sex,-0.10184098146333585
good_fellow,-0.13639147155379835
